x0,x1,x2,id,y,offset,y_raw,fold
-0.93374246,0.8319197,-1.3112757,0,0.8,5,4,8.0
1.0709591,0.8319197,-1.2432969,0,0.0,5,0,5.0
-0.93374246,0.8319197,-1.1648597,0,0.4,5,2,6.0
-0.93374246,0.8319197,-1.1491723,0,0.4,5,2,6.0
-0.93374246,0.8319197,-1.1230265,0,0.4,5,2,4.0
-0.93374246,0.8319197,-1.1021099,0,0.4,5,2,1.0
-0.93374246,0.8319197,-1.0445894,0,3.6,5,18,7.0
1.0709591,-1.2020391,-0.9713813,0,0.8,5,4,3.0
-0.93374246,0.8319197,-0.92954814,0,3.6,5,18,7.0
1.0709591,-1.2020391,-0.88248587,0,0.0,5,0,1.0
1.0709591,-1.2020391,-0.82496524,0,0.0,5,0,0.0
-0.93374246,-1.2020391,-0.7726738,0,0.6,5,3,7.0
1.0709591,0.8319197,-0.7203824,0,0.0,5,0,2.0
-0.93374246,0.8319197,-0.69423664,0,0.6,5,3,6.0
-0.93374246,-1.2020391,-0.68377835,0,0.6,5,3,4.0
-0.93374246,0.8319197,-0.56350803,0,1.2,5,6,2.0
-0.93374246,-1.2020391,-0.39617538,0,0.0,5,0,8.0
1.0709591,0.8319197,-0.28636333,0,0.8,5,4,0.0
-0.93374246,0.8319197,-0.26544675,0,0.0,5,0,5.0
-0.93374246,0.8319197,-0.09288498,0,1.4,5,7,0.0
-0.93374246,0.8319197,-0.056280963,0,1.4,5,7,5.0
1.0709591,0.8319197,0.10059338,0,0.0,5,0,9.0
1.0709591,-1.2020391,0.25746772,0,3.2,5,16,9.0
1.0709591,0.8319197,0.51892495,0,1.4,5,7,3.0
-0.93374246,0.8319197,1.5438374,0,0.0,5,0,2.0
-0.93374246,-1.2020391,1.6170454,0,1.4,5,7,4.0
-0.93374246,-1.2020391,1.7059408,0,3.2,5,16,3.0
-0.93374246,0.8319197,2.1242723,0,1.0,5,5,1.0
1.0709591,-1.2020391,-1.0184436,1,0.75,4,3,6.0
1.0709591,0.8319197,-0.81450695,1,0.5,4,2,8.0
-0.93374246,0.8319197,-0.80404866,1,3.25,4,13,7.0
